vehicle_id,batch_id,temperature,voltage,charge_cycles,depth_of_discharge,fast_charge_frequency,current,state_of_charge,state_of_health,internal_resistance,ambient_temperature,battery_age_months,health_score,rul_days,thermal_stress_index,failure_risk,maintenance_due
EV-28EAD7C8,BATCH_A,34.06,400.3,226,90.15,3,-115.22,49.53,94.82,24.22,21.7,3,88.65,1285,12.36,Low,No
EV-2B49C806,BATCH_A,35.43,385.97,293,79.24,3,67.98,35.43,92.8,27.73,30.16,11,87.85,1232,5.27,Low,No
EV-5F24189F,BATCH_C,50.30716376833465,384.66,1665,93.07,6,-15.36,26.49,77.81479132777986,53.17450442923097,35.94,103,33.19,292,25.14,Critical,Yes
EV-C78FDA29,BATCH_D,25.29,398.86,929,89.85,6,-5.35,33.46,84.17,40.2,17.36,68,60.36,740,13.88,Medium,No
EV-0C4171BC,BATCH_A,58.11,405.99,226,67.11,4,31.36,78.39,90.38,33.27,44.56,5,58.3,862,16.94,High,No
EV-B7730032,BATCH_B,47.13,400.51,795,53.21,3,103.99,57.39,92.02,29.18,35.11,47,66.63,876,12.02,Medium,No
EV-11143D92,BATCH_B,37.35,400.64,526,59.88,6,-20.29,73.78,85.96,40.96,23.1,20,68.79,927,24.94,Medium,No
EV-5871D2C2,BATCH_A,32.69,407.39,414,75.52,5,137.17,34.88,88.21,36.03,27.03,29,75.02,1052,8.49,Medium,No
EV-AA4A5B9C,BATCH_D,30.42,396.84,884,61.82,2,83.83,82.85,89.75,31.68,22.95,50,78.83,995,5.6,Medium,No
EV-AE1ACC15,BATCH_D,36.2,381.41,714,54.93,2,100.98,75.45,91.61,26.46,30.29,46,77.16,1040,4.43,Medium,No
EV-905B080E,BATCH_D,41.41,395.87,994,93.7,6,194.31,20.8,84.62,43.54,26.45,76,55.48,668,26.18,High,No
EV-656FEF94,BATCH_A,46.46,388.81,1368,57.12,4,-148.7,70.55,79.93,50.36,38.06,87,47.14,540,10.5,High,Yes
EV-E1619623,BATCH_C,59.493790301196256,399.17,1380,77.4,3,-88.86,73.38,80.69055415539772,41.61605708028948,41.12,64,39.7,466,18.37,Critical,Yes
EV-513BC21E,BATCH_A,29.59,397.02,1651,53.54,4,142.76,77.12,79.17,54.41,22.18,118,55.82,571,9.26,High,No
EV-ADF8E6E1,BATCH_B,36.67,392.69,485,59.53,2,65.72,71.1,91.42,30.11,22.95,16,83.53,1164,10.29,Low,No
EV-2741999C,BATCH_B,56.35,393.14,1301,73.29,6,-101.6,35.73,79.63,51.97,44.85,91,31.98,322,20.12,Critical,Yes
EV-B0BAF4D4,BATCH_C,46.024284890804985,401.24,838,52.65,5,-123.04,22.2,86.42522736035453,43.18414499150491,32.65,2,62.93,861,20.06,Medium,No
EV-B1977432,BATCH_B,32.02,392.21,1446,54.24,7,113.59,44.8,78.67,52.81,22.29,92,53.81,584,19.46,High,No
EV-31F0B0C1,BATCH_D,29.1,404.02,785,54.92,1,-73.36,57.54,91.96,32.87,16.82,59,74.79,1017,6.14,Medium,No
EV-F0272880,BATCH_B,42.62,382.26,791,86.36,4,192.39,26.85,87.87,36.64,28.88,54,64.26,802,17.17,Medium,No
EV-7C32BCF2,BATCH_A,37.0,405.94,303,90.61,2,-84.15,20.15,94.18,26.38,27.19,11,87.82,1220,7.36,Low,No
EV-E56568F2,BATCH_D,42.26,409.86,678,75.01,4,137.36,30.84,87.02,37.79,27.69,33,68.92,919,18.21,Medium,No
EV-6347B362,BATCH_C,57.617789032744504,397.53,644,72.63,2,191.09,31.02,89.89478667296207,34.80960863375757,37.44,27,57.73,849,15.13,High,No
EV-A73A253B,BATCH_B,37.77,382.46,723,79.58,3,76.09,42.15,88.29,35.81,32.37,51,71.14,905,5.4,Medium,No
EV-46CB24FD,BATCH_C,34.373154568842466,399.37,1010,70.58,5,221.61,85.5,86.22739278900366,42.391543122670406,22.97,26,69.8,875,17.1,Medium,No
EV-3985907C,BATCH_C,64.95233063631504,384.73,890,87.52,3,131.42,62.82,80.56136796287416,43.93602282489678,41.38,16,40.07,548,23.57,High,Yes
EV-B7321B65,BATCH_A,24.53,396.6,1558,62.26,4,91.93,70.23,80.98,50.68,18.46,120,59.18,616,7.59,High,No
EV-84447973,BATCH_B,36.61,381.52,1229,78.54,7,181.74,23.09,80.27,51.02,22.53,87,49.73,547,28.16,High,Yes
EV-AC138323,BATCH_C,41.18019623755876,401.17,1568,75.24,7,-105.25,86.15,78.2797186193917,63.61215984512192,19.85,98,42.1,401,42.66,High,Yes
EV-86287146,BATCH_B,38.24,403.88,775,88.73,0,209.57,34.71,93.47,24.63,24.25,55,81.32,1103,3.5,Low,No
EV-E970A921,BATCH_B,52.24,392.19,1122,77.93,5,-88.18,85.09,85.09,40.52,38.4,85,48.85,563,20.76,High,Yes
EV-8C1147CA,BATCH_B,28.11,389.97,1364,91.89,6,170.89,80.48,81.24,53.77,15.74,102,51.71,543,21.65,High,No
